City,AccentCity,ProvinceName,Latitude,Longitude,ProvinceID
groot-elandsvlei,Groot-Elandsvlei,Gauteng,-26.139916,27.6703,6
grootfontein,Grootfontein,Free State,-29.63352,26.296903,3
grootfontein,Grootfontein,Western Cape,-33,18.2,11
grootgeluk,Grootgeluk,Free State,-29.449312,25.98163,3
grootgewaagd,Grootgewaagd,Mpumalanga,-26.661048,29.859672,7
groot highlands,Groot Highlands,Free State,-29.85,26.55,3
groothoek,Groothoek,Free State,-29.283333,26.866667,3
groothoek,Groothoek,Limpopo,-23.287147,29.317469,9
groot-jongensfontein,Groot-Jongensfontein,Western Cape,-34.42562,21.33995,11
grootjongensfonteinstrand,Grootjongensfonteinstrand,Western Cape,-34.42562,21.33995,11
grootkloof,Grootkloof,KwaZulu Natal,-27.416667,30.283333,2
groot-marico,Groot-Marico,North West,-25.597005,26.417238,10
groot matjiesfontein,Groot Matjiesfontein,Western Cape,-30.516667,18.533333,11
groot mier,Groot Mier,Northern Cape,-26.74213,20.33376,8
grootmis,Grootmis,Northern Cape,-29.651125,17.084218,8
grootmist,Grootmist,Northern Cape,-29.651125,17.084218,8
grootpan,Grootpan,Mpumalanga,-25.917957,29.928743,7
grootpan,Grootpan,Limpopo,-22.765199,28.821927,9
grootrivierdrif,Grootrivierdrif,Eastern Cape,-33.416667,24.666667,5
grootrivier,Grootrivier,Western Cape,-33.383333,19.5,11
groot-samenkomst,Groot-Samenkomst,Eastern Cape,-32.181022,25.275928,5
grootschuur,Grootschuur,Eastern Cape,-31.743034,26.395126,5
groot silwermyn,Groot Silwermyn,Western Cape,-34.109667,18.405329,11
grootspruit,Grootspruit,Mpumalanga,-27.033333,30.433333,7
groot strydpoort,Groot Strydpoort,Eastern Cape,-31.381062,25.947006,5
groot-suurfontein,Groot-Suurfontein,Free State,-30.337475,25.811647,3
groot umgazi,Groot Umgazi,Eastern Cape,-31.614246,29.42367,5
groot-umngazi,Groot-Umngazi,Eastern Cape,-31.614246,29.42367,5
grootverlang,Grootverlang,Free State,-29.600608,26.340888,3
grootvlei,Grootvlei,Free State,-30.334147,26.707886,3
grootvlei,Grootvlei,Eastern Cape,-31.343612,25.694423,5
grootvlei,Grootvlei,Mpumalanga,-26.762469,28.483823,7
grootwater,Grootwater,Free State,-29.653773,26.312565,3
groot witberg,Groot Witberg,Northern Cape,-29.185871,22.353116,8
groot zwaarmoed,Groot Zwaarmoed,Western Cape,-33.366667,19.483333,11
grosvenor,Grosvenor,KwaZulu Natal,-29.914416,31.008076,2
groutville,Groutville,KwaZulu Natal,-29.389426,31.246065,2
groxozayo,Groxozayo,Eastern Cape,-32.566667,28.483333,5
gruisklip,Gruisklip,Eastern Cape,-31.612843,25.771031,5
gruisplaats,Gruisplaats,Free State,-27.25,29.166667,3
grypoort,Grypoort,Northern Cape,-27.848164,23.488585,8
grysdal,Grysdal,Free State,-30.133894,26.82461,3
guba,Guba,Eastern Cape,-31.562801,27.366575,5
gubahoek,Gubahoek,Eastern Cape,-31.516423,27.306259,5
gubeni,Gubeni,Eastern Cape,-32.733333,28.083333,5
gubenxa,Gubenxa,Eastern Cape,-31.35446,28.148033,5
gubenxa kroon,Gubenxa Kroon,Eastern Cape,-31.35446,28.148033,5
gubhuzi,Gubhuzi,Eastern Cape,-30.631194,28.968407,5
gubuzi,Gubuzi,Eastern Cape,-30.740639,29.145715,5
gudeka,Gudeka,Eastern Cape,-31.121759,29.332161,5
guduse,Guduse,Eastern Cape,-31.900911,28.55746,5
guguletu,Guguletu,Western Cape,-33.983511,18.570596,11
gugwini,Gugwini,Eastern Cape,-30.501519,29.940445,5
guinesses,Guinesses,Free State,-30.189079,26.994412,3
gulandoda,Gulandoda,Eastern Cape,-31.59792,28.035232,5
guleka,Guleka,KwaZulu Natal,-30.333102,30.500248,2
guliga,Guliga,KwaZulu Natal,-30.333102,30.500248,2
gulu,Gulu,Eastern Cape,-33.114725,27.725931,5
gumdale,Gumdale,Eastern Cape,-31.167539,26.55582,5
gume,Gume,Eastern Cape,-32.333333,28.816667,5
gumzana,Gumzana,Eastern Cape,-31.025883,29.984492,5
gungululu,Gungululu,Eastern Cape,-31.429524,28.860576,5
gunjana,Gunjana,KwaZulu Natal,-28.644495,30.351765,2
gura,Gura,Eastern Cape,-31.028961,28.83599,5
guse,Guse,Eastern Cape,-31.82693,27.465655,5
gusenzamo,Gusenzamo,KwaZulu Natal,-28.17504,31.654167,2
guthrie,Guthrie,Mpumalanga,-25.6,30.933333,7
gutshwa,Gutshwa,Mpumalanga,-25.266667,31.2,7
gutshwe,Gutshwe,Mpumalanga,-25.299952,31.147185,7
guwini,Guwini,Eastern Cape,-30.735568,29.436895,5
guxuxu,Guxuxu,Eastern Cape,-32.319148,28.557515,5
gwadana,Gwadana,Eastern Cape,-32.214563,28.292797,5
gwadu,Gwadu,Eastern Cape,-32.183333,28.616667,5
gwalali,Gwalali,Limpopo,-22.4,31.3,9
gwalana,Gwalana,Eastern Cape,-33.271336,27.112032,5
gwarriehoek,Gwarriehoek,Limpopo,-24.733333,27.483333,9
gwentham,Gwentham,Free State,-29.008988,26.214247,3
gweta,Gweta,Mpumalanga,-24.909926,31.039323,7
gwili gwili,Gwili Gwili,Eastern Cape,-32.680489,27.20232,5
gxaha,Gxaha,Eastern Cape,-32.599707,28.377149,5
gxaku,Gxaku,Eastern Cape,-30.683333,28.633333,5
gxara,Gxara,Eastern Cape,-31.999355,28.288117,5
gxara trading station,Gxara Trading Station,Eastern Cape,-32.599707,28.377149,5
gxokoza,Gxokoza,Eastern Cape,-31.587855,29.268228,5
gxulu,Gxulu,Eastern Cape,-33.114725,27.725931,5
gxwaleni,Gxwaleni,Eastern Cape,-30.738915,29.528272,5
haakdoorndraai,Haakdoorndraai,Mpumalanga,-25.187978,29.565522,7
haakdoorn,Haakdoorn,Northern Cape,-28.983333,22.3,8
haakdoringdraai,Haakdoringdraai,Mpumalanga,-25.187978,29.565522,7
haarlem,Haarlem,Eastern Cape,-31.044591,26.569909,5
haarlem,Haarlem,Western Cape,-33.73302,23.342632,11
haasfonteindorings,Haasfonteindorings,Eastern Cape,-31.956656,26.353478,5
haaskraal,Haaskraal,North West,-26.768035,27.034809,10
haaspoort,Haaspoort,Eastern Cape,-31.157645,26.112934,5
hackney and cibini,Hackney and Cibini,Eastern Cape,-32.333333,26.65,5
hackney,Hackney,Eastern Cape,-32.317199,26.645061,5
hadiaho,Hadiaho,Eastern Cape,-30.266667,28.583333,5
hadi,Hadi,Eastern Cape,-31.5503,28.8258,5
haenerstburg,Haenerstburg,Limpopo,-23.944368,29.944866,9
haenertsburg,Haenertsburg,Limpopo,-23.944368,29.944866,9
ha-folovhodwe,Ha-Folovhodwe,Limpopo,-22.589149,30.425048,9
haga-haga bay,Haga-Haga Bay,Eastern Cape,-32.763495,28.246455,5
haga-haga,Haga-Haga,Eastern Cape,-32.763495,28.246455,5
hagesdam,Hagesdam,Free State,-29.358063,25.783446,3
haisaka,Haisaka,Eastern Cape,-30.25,28.583333,5
hakboslaagte,Hakboslaagte,North West,-26.327113,26.152982,10
ha-lambani,Ha-Lambani,Limpopo,-22.720273,30.831499,9
halfpadrivier,Halfpadrivier,Northern Cape,-30.516667,20.016667,8
halfway house,Halfway House,Gauteng,-25.997137,28.129919,6
halifax,Halifax,North West,-26.208188,23.226071,10
hallack rock,Hallack Rock,Eastern Cape,-33.966667,25.6,5
halseton,Halseton,Eastern Cape,-31.533333,26.816667,5
ha-madala,Ha-Madala,Limpopo,-22.850193,30.281792,9
ha-madodonga,Ha-Madodonga,Limpopo,-23.091312,29.6793,9
ha-magau,Ha-Magau,Limpopo,-23.132706,29.848093,9
ha-magoro,Ha-Magoro,Limpopo,-23.300082,30.315696,9
ha-majoro,Ha-Majoro,Eastern Cape,-30.348432,28.456346,5
hamakuya,Hamakuya,Limpopo,-22.636789,30.837469,9
ha-mamuhoyi,Ha-Mamuhoyi,Limpopo,-22.870657,30.121835,9
ha-manavhela,Ha-Manavhela,Limpopo,-23.066667,29.616667,9
ha-mantsha,Ha-Mantsha,Limpopo,-23.07904,29.774448,9
ha-matsheketsheke,Ha-Matsheketsheke,Limpopo,-22.73424,30.408524,9
ha-matsika,Ha-Matsika,Limpopo,-22.858894,30.693608,9
ha-mavhunga,Ha-Mavhunga,Limpopo,-22.924925,30.116817,9
hamburg,Hamburg,Eastern Cape,-33.284099,27.452699,5
hamewith,Hamewith,KwaZulu Natal,-28.943796,31.719079,2
hamilton,Hamilton,Free State,-30.366147,26.64944,3
hammanskraal,Hammanskraal,North West,-25.40892,28.286996,10
hammarsdale,Hammarsdale,KwaZulu Natal,-29.800827,30.651961,2
hammersdale,Hammersdale,KwaZulu Natal,-29.800827,30.651961,2
ha-mothibisi,Ha-Mothibisi,Eastern Cape,-30.36058,28.35087,5
hamsini,Hamsini,Eastern Cape,-31.794713,29.084882,5
ha-mubua,Ha-Mubua,Limpopo,-23.1,29.733333,9
hanakoe,Hanakoe,Free State,-29.45707,26.986696,3
hananwa,Hananwa,Limpopo,-23.083333,28.95,9
hanglip,Hanglip,Limpopo,-24.216667,28.766667,9
haningfontein,Haningfontein,Limpopo,-24.45,28.266667,9
hankey,Hankey,Eastern Cape,-33.833079,24.883586,5
hannskop,Hannskop,Western Cape,-33.45,23.216667,11
ha-nokholoko,Ha-Nokholoko,Eastern Cape,-30.616638,28.228445,5
hanover,Hanover,Eastern Cape,-32.818993,27.480597,5
hanover,Hanover,Mpumalanga,-26.797338,29.777589,7
hanover,Hanover,Northern Cape,-31.06856,24.442516,8
hanover park,Hanover Park,Western Cape,-33.994609,18.529775,11
hanover road,Hanover Road,Northern Cape,-30.952372,24.53683,8
hanoverweg,Hanoverweg,Northern Cape,-30.952372,24.53683,8
hanslaagte,Hanslaagte,Mpumalanga,-24.933333,30.2,7
hans masibislokasie,Hans Masibislokasie,Limpopo,-23.983333,28.833333,9
hansonia,Hansonia,KwaZulu Natal,-29.7,29.716667,2
hans se kaalte,Hans se Kaalte,Limpopo,-24.45,28.35,9
happy home,Happy Home,Eastern Cape,-32.854591,28.07809,5
happy rest,Happy Rest,Limpopo,-23.033333,29.733333,9
happy valley,Happy Valley,Eastern Cape,-32.477756,27.074449,5
happy valley,Happy Valley,Northern Cape,-29.573955,22.178562,8
happy valley,Happy Valley,Western Cape,-33.933406,20.074828,11
ha-qhadi,Ha-Qhadi,Eastern Cape,-30.613586,28.468414,5
ha-rabali,Ha-Rabali,Limpopo,-22.878584,30.093927,9
ha-radali,Ha-Radali,Limpopo,-22.908299,30.437232,9
ha-ramahantsha,Ha-Ramahantsha,Limpopo,-23.106352,29.763354,9
ha-ramarolong,Ha-Ramarolong,Eastern Cape,-30.238564,28.413374,5
ha-rankopane,Ha-Rankopane,Free State,-28.557022,28.83464,3
harantsatsa,Harantsatsa,Free State,-29.150096,26.922,3
harburg,Harburg,KwaZulu Natal,-29.410314,30.736979,2
hardale,Hardale,Eastern Cape,-31.166216,28.476003,5
hardekraaltjie,Hardekraaltjie,Limpopo,-23.524965,27.215756,9
harden heights,Harden Heights,KwaZulu Natal,-29.265009,30.620493,2
hardeveld,Hardeveld,Eastern Cape,-31.683333,27.35,5
harding,Harding,KwaZulu Natal,-30.576429,29.884006,2
hardop,Hardop,Eastern Cape,-31.733333,25.933333,5
harefield,Harefield,Eastern Cape,-32.678884,28.005673,5
harkerville,Harkerville,Western Cape,-34.037076,23.237533,11
harmonie,Harmonie,Free State,-27.555036,27.643915,3
harmonie,Harmonie,Eastern Cape,-31.202501,25.782556,5
harmonie,Harmonie,Limpopo,-23.803647,28.894199,9
harmony,Harmony,Limpopo,-23.090435,29.848545,9
harmony,Harmony,Western Cape,-34.116667,18.383333,11
harpington,Harpington,North West,-26.78636,27.065584,10
harrismith,Harrismith,Free State,-28.272758,29.129462,3
harrison,Harrison,KwaZulu Natal,-29.733333,30.633333,2
harrow,Harrow,North West,-26.312629,23.234459,10
hartbeesbult,Hartbeesbult,Limpopo,-24.49282,27.418885,9
hartbeesfontein,Hartbeesfontein,Free State,-30.14707,26.14397,3
hartbeesfontein,Hartbeesfontein,Mpumalanga,-26.918545,29.676599,7
hartbeesfontein,Hartbeesfontein,North West,-26.765659,26.420241,10
hartbeesnek,Hartbeesnek,Eastern Cape,-31.3,26.15,5
hartbeespoort,Hartbeespoort,North West,-25.733333,27.85,10
hartbeestfontein,Hartbeestfontein,Limpopo,-24.484091,27.736911,9
hart dale,Hart Dale,Eastern Cape,-31.379367,28.269888,5
hartebeesfontein,Hartebeesfontein,Free State,-30.19654,26.41281,3
